method,block_rows,degree,distribution,locality,rhs,seed,gpu_median_ms,gpu_p95_ms,hot_median_ms,hot_p95_ms,useful_gflops,launches,workspace_bytes
row_owned_hybrid,4096,2,uniform,local,8,1,0.25213,0.43248,0.25690,0.43750,532.33963,1,0
row_owned_scalar,4096,2,uniform,local,8,1,0.25210,0.25325,0.25690,0.25870,532.40722,1,0
scalar_csr_cusparse,4096,2,uniform,local,8,1,0.48301,0.67475,0.48830,0.69080,277.87889,1,0
slot_grouped_cublas,4096,2,uniform,local,8,1,0.91594,1.10790,0.92110,1.11370,146.53614,2,0
row_owned_hybrid,4096,2,uniform,local,16,1,0.21299,0.38442,0.23530,0.40660,1260.30771,1,0
row_owned_scalar,4096,2,uniform,local,16,1,0.49770,0.71075,0.52040,0.73510,539.35625,1,0
scalar_csr_cusparse,4096,2,uniform,local,16,1,0.78317,1.02266,0.81170,1.30160,342.75590,1,0
slot_grouped_cublas,4096,2,uniform,local,16,1,0.93222,1.42502,0.96680,1.43380,287.95168,2,0
row_owned_hybrid,4096,2,uniform,local,32,1,0.27005,0.45024,0.27520,0.45590,1988.05741,1,0
row_owned_scalar,4096,2,uniform,local,32,1,0.99011,1.20451,0.99630,1.22460,542.23250,1,0
scalar_csr_cusparse,4096,2,uniform,local,32,1,1.52688,1.71731,1.53300,1.72550,351.61303,1,0
slot_grouped_cublas,4096,2,uniform,local,32,1,1.01622,1.19974,1.02150,1.20570,528.29976,2,0
row_owned_hybrid,4096,2,uniform,local,64,1,0.40499,0.62986,0.41040,0.82270,2651.26666,1,0
row_owned_scalar,4096,2,uniform,local,64,1,2.15344,2.54902,2.19780,2.55620,498.61701,1,0
scalar_csr_cusparse,4096,2,uniform,local,64,1,3.30541,3.54810,3.37340,3.55610,324.84396,1,0
slot_grouped_cublas,4096,2,uniform,local,64,1,1.18067,1.40598,1.20410,1.41630,909.43275,2,0
row_owned_hybrid,4096,4,uniform,local,8,1,0.45834,0.67040,0.46510,0.67670,585.67396,1,0
row_owned_scalar,4096,4,uniform,local,8,1,0.45763,0.69078,0.46480,0.69730,586.57492,1,0
scalar_csr_cusparse,4096,4,uniform,local,8,1,0.97789,1.19728,0.98740,1.22420,274.50532,1,0
slot_grouped_cublas,4096,4,uniform,local,8,1,1.93453,2.30774,1.99280,2.31920,138.76018,4,0
row_owned_hybrid,4096,4,uniform,local,16,1,0.35907,0.53914,0.36410,0.55270,1495.16229,1,0
row_owned_scalar,4096,4,uniform,local,16,1,0.90038,1.10883,0.90580,1.11610,596.26882,1,0
scalar_csr_cusparse,4096,4,uniform,local,16,1,1.57728,1.80051,1.59970,1.81960,340.37767,1,0
slot_grouped_cublas,4096,4,uniform,local,16,1,1.88445,2.10483,1.89120,2.11980,284.89558,4,0
row_owned_hybrid,4096,4,uniform,local,32,1,0.45699,0.66253,0.46220,0.67520,2349.58560,1,0
row_owned_scalar,4096,4,uniform,local,32,1,1.79405,2.08730,1.83360,2.10540,598.50230,1,0
scalar_csr_cusparse,4096,4,uniform,local,32,1,3.33549,3.74045,3.35140,3.76420,321.91445,1,0
slot_grouped_cublas,4096,4,uniform,local,32,1,2.17581,2.68896,2.19550,2.70670,493.49108,4,0
row_owned_hybrid,4096,4,uniform,local,64,1,0.69709,0.87760,0.70200,0.90230,3080.64927,1,0
row_owned_scalar,4096,4,uniform,local,64,1,3.77341,3.99152,3.78180,4.00860,569.10986,1,0
scalar_csr_cusparse,4096,4,uniform,local,64,1,6.52765,6.71798,6.54580,6.74080,328.98276,1,0
slot_grouped_cublas,4096,4,uniform,local,64,1,2.54810,2.77888,2.57020,2.80530,842.77975,4,0
row_owned_hybrid,4096,8,uniform,local,8,1,0.85693,1.08787,0.86220,1.10100,626.50645,1,0
row_owned_scalar,4096,8,uniform,local,8,1,0.85850,1.07027,0.88060,1.08410,625.36215,1,0
scalar_csr_cusparse,4096,8,uniform,local,8,1,2.25770,2.45219,2.28980,2.46910,237.79594,1,0
slot_grouped_cublas,4096,8,uniform,local,8,1,3.89750,4.07773,3.92370,4.09140,137.74736,8,0
row_owned_hybrid,4096,8,uniform,local,16,1,0.64336,0.95402,0.64910,0.96250,1668.95951,1,0
row_owned_scalar,4096,8,uniform,local,16,1,1.70653,2.16899,1.72400,2.17540,629.19674,1,0
scalar_csr_cusparse,4096,8,uniform,local,16,1,3.63366,4.07590,3.74000,4.08650,295.49839,1,0
