method,block_rows,degree,distribution,locality,rhs,seed,gpu_median_ms,gpu_p95_ms,hot_median_ms,hot_p95_ms,useful_gflops,launches,workspace_bytes
row_owned_hybrid,1024,2,uniform,local,8,1,0.03574,0.05002,0.04120,0.06090,938.74306,1,0
row_owned_scalar,1024,2,uniform,local,8,1,0.03478,0.03517,0.03960,0.04020,964.65132,1,0
scalar_csr_cusparse,1024,2,uniform,local,8,1,0.16534,0.16970,0.18910,0.19200,202.93710,1,0
slot_grouped_cublas,1024,2,uniform,local,8,1,0.29901,0.33117,0.32470,0.99860,112.21917,2,0
row_owned_hybrid,1024,2,uniform,local,16,1,0.04739,0.05792,0.05200,0.07660,1416.03783,1,0
row_owned_scalar,1024,2,uniform,local,16,1,0.06170,0.06381,0.06630,0.06870,1087.73443,1,0
scalar_csr_cusparse,1024,2,uniform,local,16,1,0.20560,0.22250,0.21060,0.23600,326.40499,1,0
slot_grouped_cublas,1024,2,uniform,local,16,1,0.29885,0.31030,0.32490,1.08880,224.55852,2,0
row_owned_hybrid,1024,2,uniform,local,32,1,0.06819,0.06867,0.07290,0.07910,1968.23282,1,0
row_owned_scalar,1024,2,uniform,local,32,1,0.11718,0.12746,0.12210,0.14750,1145.35884,1,0
scalar_csr_cusparse,1024,2,uniform,local,32,1,0.39213,0.40973,0.39720,0.42780,342.28041,1,0
slot_grouped_cublas,1024,2,uniform,local,32,1,0.26368,0.31930,0.26880,0.34490,509.01745,2,0
row_owned_hybrid,1024,2,uniform,local,64,1,0.12374,0.13859,0.12880,0.15030,2169.28052,1,0
row_owned_scalar,1024,2,uniform,local,64,1,0.22755,1.17491,0.23330,1.18010,1179.66645,1,0
scalar_csr_cusparse,1024,2,uniform,local,64,1,0.76458,1.53664,0.77130,1.54610,351.09060,1,0
slot_grouped_cublas,1024,2,uniform,local,64,1,0.25907,0.27187,0.26540,0.27760,1036.14227,2,0
row_owned_hybrid,1024,4,uniform,local,8,1,0.06147,0.07629,0.08440,0.10680,1091.69810,1,0
row_owned_scalar,1024,4,uniform,local,8,1,0.06144,0.06163,0.08360,0.08360,1092.26669,1,0
scalar_csr_cusparse,1024,4,uniform,local,8,1,0.25469,0.31968,0.25970,0.32730,263.49441,1,0
slot_grouped_cublas,1024,4,uniform,local,8,1,0.54842,0.58531,0.57230,0.61480,122.36853,4,0
row_owned_hybrid,1024,4,uniform,local,16,1,0.08790,0.10147,0.11030,0.13000,1526.86715,1,0
row_owned_scalar,1024,4,uniform,local,16,1,0.11078,0.11184,0.11560,0.11780,1211.52627,1,0
scalar_csr_cusparse,1024,4,uniform,local,16,1,0.43546,0.43600,0.45920,0.47040,308.22339,1,0
slot_grouped_cublas,1024,4,uniform,local,16,1,0.50304,0.50986,0.50840,0.51570,266.81322,4,0
row_owned_hybrid,1024,4,uniform,local,32,1,0.12518,0.13174,0.12980,0.14780,2144.32721,1,0
row_owned_scalar,1024,4,uniform,local,32,1,0.21232,1.17936,0.21780,1.18480,1264.29661,1,0
scalar_csr_cusparse,1024,4,uniform,local,32,1,0.79146,1.08099,0.79780,1.08570,339.16663,1,0
slot_grouped_cublas,1024,4,uniform,local,32,1,0.51613,1.31037,0.52140,1.31570,520.09473,4,0
row_owned_hybrid,1024,4,uniform,local,64,1,0.23411,0.23539,0.23940,0.24640,2293.22258,1,0
row_owned_scalar,1024,4,uniform,local,64,1,0.41418,0.42349,0.41920,0.43380,1296.23862,1,0
scalar_csr_cusparse,1024,4,uniform,local,64,1,1.58166,2.39235,1.58930,2.39960,339.43424,1,0
slot_grouped_cublas,1024,4,uniform,local,64,1,0.52160,0.52435,0.52800,0.53100,1029.27704,4,0
row_owned_hybrid,1024,8,uniform,local,8,1,0.20950,0.21312,0.21450,0.22100,640.64520,1,0
row_owned_scalar,1024,8,uniform,local,8,1,0.21485,0.22115,0.21990,0.22600,624.71017,1,0
scalar_csr_cusparse,1024,8,uniform,local,8,1,0.56755,0.59325,0.57330,1.33920,236.48535,1,0
slot_grouped_cublas,1024,8,uniform,local,8,1,1.03498,1.05946,1.04230,1.07020,129.68197,8,0
row_owned_hybrid,1024,8,uniform,local,16,1,0.33670,0.35283,0.36260,1.20900,797.24466,1,0
row_owned_scalar,1024,8,uniform,local,16,1,0.35293,0.38602,0.35800,0.39330,760.59549,1,0
scalar_csr_cusparse,1024,8,uniform,local,16,1,0.89955,0.91341,0.92250,1.00470,298.41016,1,0
slot_grouped_cublas,1024,8,uniform,local,16,1,1.03325,1.12342,1.05620,1.89110,259.79772,8,0
row_owned_hybrid,1024,8,uniform,local,32,1,0.42810,0.68720,0.43340,0.69340,1254.09001,1,0
row_owned_scalar,1024,8,uniform,local,32,1,0.71773,0.72336,0.73900,0.94870,748.01443,1,0
scalar_csr_cusparse,1024,8,uniform,local,32,1,1.90621,2.56848,1.91500,2.57420,281.64340,1,0
slot_grouped_cublas,1024,8,uniform,local,32,1,1.04509,1.06464,1.06200,1.19300,513.70878,8,0
row_owned_hybrid,1024,8,uniform,local,64,1,0.85251,0.85533,0.87740,1.62130,1259.50347,1,0
row_owned_scalar,1024,8,uniform,local,64,1,1.39830,1.42397,1.42540,2.25860,767.88870,1,0
scalar_csr_cusparse,1024,8,uniform,local,64,1,3.73107,4.32080,4.16730,4.33620,287.78374,1,0
slot_grouped_cublas,1024,8,uniform,local,64,1,1.05920,1.92336,1.06520,1.92970,1013.72902,8,0
row_owned_hybrid,1024,16,uniform,local,8,1,0.43632,0.44474,0.44120,0.46550,615.22610,1,0
row_owned_scalar,1024,16,uniform,local,8,1,0.43792,0.43882,0.44380,0.44500,612.97829,1,0
scalar_csr_cusparse,1024,16,uniform,local,8,1,0.92611,0.94106,0.93250,0.95600,289.85205,1,0
slot_grouped_cublas,1024,16,uniform,local,8,1,2.12896,2.98502,2.14180,2.99450,126.08761,16,0
row_owned_hybrid,1024,16,uniform,local,16,1,0.63891,1.40234,0.64510,1.40790,840.28926,1,0
row_owned_scalar,1024,16,uniform,local,16,1,0.85933,1.80662,0.86930,1.81390,624.75670,1,0
scalar_csr_cusparse,1024,16,uniform,local,16,1,1.53094,1.55862,1.57700,2.29700,350.67966,1,0
slot_grouped_cublas,1024,16,uniform,local,16,1,2.09981,2.98480,2.20030,2.99440,255.67619,16,0
row_owned_hybrid,1024,16,uniform,local,32,1,0.83146,1.61264,0.83720,1.61830,1291.39944,1,0
row_owned_scalar,1024,16,uniform,local,32,1,1.66797,2.52717,1.80360,2.53800,643.74245,1,0
scalar_csr_cusparse,1024,16,uniform,local,32,1,3.31376,3.95027,3.32020,3.96360,324.02522,1,0
slot_grouped_cublas,1024,16,uniform,local,32,1,2.15898,3.00554,2.17070,3.03220,497.33845,16,0
row_owned_hybrid,1024,16,uniform,local,64,1,1.63382,2.48525,1.63930,2.49130,1314.39106,1,0
row_owned_scalar,1024,16,uniform,local,64,1,3.29549,4.40426,3.42900,4.41060,651.64357,1,0
scalar_csr_cusparse,1024,16,uniform,local,64,1,6.90845,7.08768,6.93910,7.11050,310.84892,1,0
slot_grouped_cublas,1024,16,uniform,local,64,1,2.20477,3.07133,2.25520,3.09840,974.01799,16,0
row_owned_hybrid,1024,2,uniform,random,8,1,0.03674,0.05776,0.05920,0.08100,913.39372,1,0
row_owned_scalar,1024,2,uniform,random,8,1,0.03472,0.03690,0.05710,0.05910,966.42950,1,0
scalar_csr_cusparse,1024,2,uniform,random,8,1,0.16653,0.17181,0.19090,0.19430,201.49423,1,0
slot_grouped_cublas,1024,2,uniform,random,8,1,0.30512,0.33859,0.32590,0.36330,109.97127,2,0
row_owned_hybrid,1024,2,uniform,random,16,1,0.05245,0.07533,0.07330,0.10630,1279.53140,1,0
row_owned_scalar,1024,2,uniform,random,16,1,0.06352,0.07664,0.08580,0.09950,1056.49976,1,0
scalar_csr_cusparse,1024,2,uniform,random,16,1,0.23642,0.23693,0.26010,0.26180,283.85923,1,0
slot_grouped_cublas,1024,2,uniform,random,16,1,0.31536,0.32531,0.34040,1.09040,212.80081,2,0
row_owned_hybrid,1024,2,uniform,random,32,1,0.06829,0.06851,0.07340,0.07740,1965.46584,1,0
row_owned_scalar,1024,2,uniform,random,32,1,0.11702,0.11875,0.12170,0.12390,1146.92483,1,0
scalar_csr_cusparse,1024,2,uniform,random,32,1,0.39120,0.40170,0.39590,0.41510,343.09235,1,0
slot_grouped_cublas,1024,2,uniform,random,32,1,0.26278,0.27443,0.26770,0.28940,510.75304,2,0
row_owned_hybrid,1024,2,uniform,random,64,1,0.12365,0.12506,0.12890,0.13610,2170.96476,1,0
row_owned_scalar,1024,2,uniform,random,64,1,0.22755,0.22819,0.23220,0.23340,1179.66645,1,0
scalar_csr_cusparse,1024,2,uniform,random,64,1,0.77216,1.58467,0.77700,1.58950,347.64227,1,0
slot_grouped_cublas,1024,2,uniform,random,64,1,0.27181,1.11315,0.27660,1.11860,987.59219,2,0
row_owned_hybrid,1024,4,uniform,random,8,1,0.06160,0.06330,0.06620,0.07350,1089.42962,1,0
row_owned_scalar,1024,4,uniform,random,8,1,0.06144,0.06906,0.06630,0.08080,1092.26669,1,0
scalar_csr_cusparse,1024,4,uniform,random,8,1,0.25450,0.27216,0.25930,0.28500,263.69319,1,0
slot_grouped_cublas,1024,4,uniform,random,8,1,0.50406,0.50618,0.51020,0.51180,133.13560,4,0
row_owned_hybrid,1024,4,uniform,random,16,1,0.08890,0.10259,0.09400,0.11340,1509.82867,1,0
