method,block_rows,degree,distribution,locality,rhs,seed,gpu_median_ms,gpu_p95_ms,hot_median_ms,hot_p95_ms,useful_gflops,launches,workspace_bytes
row_owned_hybrid,1024,2,uniform,local,8,1,0.03536,0.03680,0.04080,0.04770,948.93753,1,0
row_owned_scalar,1024,2,uniform,local,8,1,0.03523,0.03552,0.04060,0.04090,952.38510,1,0
scalar_csr_cusparse,1024,2,uniform,local,8,1,0.13187,0.14573,0.13690,0.15260,254.44698,1,0
slot_grouped_cublas,1024,2,uniform,local,8,1,0.24541,0.42029,0.25170,0.42570,136.72917,2,0
row_owned_hybrid,1024,2,uniform,local,16,1,0.04784,0.04989,0.05300,0.05520,1402.77728,1,0
row_owned_scalar,1024,2,uniform,local,16,1,0.06128,0.06192,0.06640,0.06730,1095.11852,1,0
scalar_csr_cusparse,1024,2,uniform,local,16,1,0.20506,0.21808,0.21040,0.22340,327.27092,1,0
slot_grouped_cublas,1024,2,uniform,local,16,1,0.26349,0.44266,0.26870,0.44910,254.69420,2,0
row_owned_hybrid,1024,2,uniform,local,32,1,0.04557,0.04730,0.05110,0.05800,2945.43817,1,0
row_owned_scalar,1024,2,uniform,local,32,1,0.11718,0.11782,0.12270,0.12340,1145.35884,1,0
scalar_csr_cusparse,1024,2,uniform,local,32,1,0.39280,0.40387,0.39840,0.41160,341.69482,1,0
slot_grouped_cublas,1024,2,uniform,local,32,1,0.26346,0.26531,0.26900,0.27050,509.45029,2,0
row_owned_hybrid,1024,2,uniform,local,64,1,0.06611,0.06650,0.07170,0.07740,4060.31385,1,0
row_owned_scalar,1024,2,uniform,local,64,1,0.22579,0.22592,0.23110,0.23200,1188.86165,1,0
scalar_csr_cusparse,1024,2,uniform,local,64,1,0.76685,0.99949,0.77270,1.00680,350.05040,1,0
slot_grouped_cublas,1024,2,uniform,local,64,1,0.25686,0.25987,0.26240,0.26570,1045.04891,2,0
row_owned_hybrid,1024,4,uniform,local,8,1,0.05997,0.06122,0.06530,0.07200,1119.07794,1,0
row_owned_scalar,1024,4,uniform,local,8,1,0.05994,0.06157,0.06530,0.06740,1119.67542,1,0
scalar_csr_cusparse,1024,4,uniform,local,8,1,0.25482,0.27206,0.26040,0.27860,263.36205,1,0
slot_grouped_cublas,1024,4,uniform,local,8,1,0.49238,0.51203,0.49840,0.51830,136.29376,4,0
row_owned_hybrid,1024,4,uniform,local,16,1,0.08064,0.08269,0.08580,0.09320,1664.40629,1,0
row_owned_scalar,1024,4,uniform,local,16,1,0.11050,0.11171,0.11560,0.11730,1214.68405,1,0
scalar_csr_cusparse,1024,4,uniform,local,16,1,0.40362,0.40426,0.40920,0.41210,332.53817,1,0
slot_grouped_cublas,1024,4,uniform,local,16,1,0.51082,0.51581,0.51670,0.52180,262.75162,4,0
row_owned_hybrid,1024,4,uniform,local,32,1,0.08054,0.08115,0.08570,0.09220,3332.78020,1,0
row_owned_scalar,1024,4,uniform,local,32,1,0.21158,0.21222,0.21670,0.21780,1268.69448,1,0
scalar_csr_cusparse,1024,4,uniform,local,32,1,0.79309,0.99373,0.79920,0.99940,338.46868,1,0
slot_grouped_cublas,1024,4,uniform,local,32,1,0.52864,0.74061,0.53480,0.75790,507.78501,4,0
row_owned_hybrid,1024,4,uniform,local,64,1,0.12758,0.13184,0.13310,0.13830,4207.98008,1,0
row_owned_scalar,1024,4,uniform,local,64,1,0.41427,0.66627,0.42020,0.67170,1295.93817,1,0
scalar_csr_cusparse,1024,4,uniform,local,64,1,1.75002,1.77296,1.75660,1.78100,306.78058,1,0
slot_grouped_cublas,1024,4,uniform,local,64,1,0.52595,0.73773,0.53200,0.74340,1020.76032,4,0
row_owned_hybrid,1024,8,uniform,local,8,1,0.22042,0.22275,0.22690,0.22920,608.92917,1,0
row_owned_scalar,1024,8,uniform,local,8,1,0.21578,0.21984,0.22150,0.22570,622.02344,1,0
scalar_csr_cusparse,1024,8,uniform,local,8,1,0.56813,0.58227,0.57370,0.58800,236.24558,1,0
slot_grouped_cublas,1024,8,uniform,local,8,1,1.03293,1.41008,1.03990,1.41600,129.93909,8,0
row_owned_hybrid,1024,8,uniform,local,16,1,0.22710,0.23226,0.23220,0.23910,1181.99355,1,0
row_owned_scalar,1024,8,uniform,local,16,1,0.35462,0.60221,0.36080,0.78600,756.95794,1,0
scalar_csr_cusparse,1024,8,uniform,local,16,1,0.86899,1.10874,0.87660,1.11490,308.90441,1,0
slot_grouped_cublas,1024,8,uniform,local,16,1,1.04435,1.21741,1.05000,1.22440,257.03541,8,0
row_owned_hybrid,1024,8,uniform,local,32,1,0.21782,0.21834,0.22300,0.22870,2464.70049,1,0
row_owned_scalar,1024,8,uniform,local,32,1,0.69882,0.74157,0.70390,0.75400,768.25790,1,0
scalar_csr_cusparse,1024,8,uniform,local,32,1,1.71805,1.91536,1.74990,1.92300,312.48889,1,0
