method,block_rows,degree,distribution,locality,rhs,seed,gpu_median_ms,gpu_p95_ms,hot_median_ms,hot_p95_ms,useful_gflops,launches,workspace_bytes
row_owned_ilp4,1024,2,uniform,local,8,1,0.04118,0.04208,0.04590,0.05240,814.74435,1,0
row_owned_scalar,1024,2,uniform,local,8,1,0.03498,0.03635,0.03970,0.04140,959.35585,1,0
scalar_csr_cusparse,1024,2,uniform,local,8,1,0.13197,0.14730,0.13680,0.15270,254.26187,1,0
slot_grouped_cublas,1024,2,uniform,local,8,1,0.24342,0.26506,0.24830,0.27790,137.84357,2,0
row_owned_ilp4,1024,2,uniform,local,16,1,0.04746,0.04998,0.05250,0.07120,1414.12812,1,0
row_owned_scalar,1024,2,uniform,local,16,1,0.06250,0.06378,0.06730,0.06880,1073.81056,1,0
scalar_csr_cusparse,1024,2,uniform,local,16,1,0.20570,0.21594,0.21230,0.22070,326.25264,1,0
slot_grouped_cublas,1024,2,uniform,local,16,1,0.24534,0.25325,0.25120,0.25880,273.52967,2,0
row_owned_ilp4,1024,2,uniform,local,32,1,0.06784,0.08221,0.08970,0.11010,1978.44521,1,0
row_owned_scalar,1024,2,uniform,local,32,1,0.11718,0.11846,0.12230,0.12400,1145.35884,1,0
scalar_csr_cusparse,1024,2,uniform,local,32,1,0.39462,1.29091,0.40170,1.29820,340.11548,1,0
slot_grouped_cublas,1024,2,uniform,local,32,1,0.26314,0.26442,0.26810,0.26970,510.06981,2,0
row_owned_ilp4,1024,2,uniform,local,64,1,0.12314,0.12413,0.12790,0.13470,2179.99170,1,0
row_owned_scalar,1024,2,uniform,local,64,1,0.22749,0.22861,0.23290,0.23390,1179.99833,1,0
scalar_csr_cusparse,1024,2,uniform,local,64,1,0.76944,1.65478,0.77580,1.66130,348.87120,1,0
slot_grouped_cublas,1024,2,uniform,local,64,1,0.25706,0.28566,0.26250,0.29060,1044.26840,2,0
row_owned_ilp4,1024,4,uniform,local,8,1,0.07197,0.07357,0.07670,0.08360,932.48204,1,0
row_owned_scalar,1024,4,uniform,local,8,1,0.06128,0.06221,0.06610,0.06760,1095.11852,1,0
scalar_csr_cusparse,1024,4,uniform,local,8,1,0.25651,0.26986,0.26400,0.27490,261.62077,1,0
slot_grouped_cublas,1024,4,uniform,local,8,1,0.49107,0.50838,0.49610,0.51380,136.65789,4,0
row_owned_ilp4,1024,4,uniform,local,16,1,0.08509,0.08698,0.09010,0.09760,1577.39903,1,0
row_owned_scalar,1024,4,uniform,local,16,1,0.11146,0.11280,0.11650,0.11840,1204.22166,1,0
scalar_csr_cusparse,1024,4,uniform,local,16,1,0.40691,0.41872,0.41270,0.42400,329.84461,1,0
slot_grouped_cublas,1024,4,uniform,local,16,1,0.49334,0.51434,0.49860,0.51970,272.05707,4,0
row_owned_ilp4,1024,4,uniform,local,32,1,0.12547,0.14147,0.13030,0.15350,2139.40535,1,0
row_owned_scalar,1024,4,uniform,local,32,1,0.21306,0.21344,0.21870,0.21930,1259.92912,1,0
scalar_csr_cusparse,1024,4,uniform,local,32,1,0.79600,0.82467,0.80720,0.84230,337.23047,1,0
slot_grouped_cublas,1024,4,uniform,local,32,1,0.51651,0.52218,0.52210,0.52860,519.70810,4,0
row_owned_ilp4,1024,4,uniform,local,64,1,0.23453,0.23683,0.24020,0.24630,2289.15481,1,0
row_owned_scalar,1024,4,uniform,local,64,1,0.41722,1.39027,0.42460,1.39610,1286.79367,1,0
