method,block_rows,degree,distribution,locality,rhs,seed,gpu_median_ms,gpu_p95_ms,hot_median_ms,hot_p95_ms,useful_gflops,launches,workspace_bytes
row_owned_hybrid,1024,2,uniform,local,8,1,0.03546,0.03616,0.04070,0.04600,946.36818,1,0
row_owned_scalar,1024,2,uniform,local,8,1,0.03539,0.03555,0.04060,0.04090,948.07953,1,0
scalar_csr_cusparse,1024,2,uniform,local,8,1,0.13197,0.25779,0.13780,0.26360,254.26187,1,0
slot_grouped_cublas,1024,2,uniform,local,8,1,0.24573,0.26355,0.25130,0.26900,136.55111,2,0
row_owned_hybrid,1024,2,uniform,local,16,1,0.04778,0.04886,0.05380,0.05930,1404.65643,1,0
row_owned_scalar,1024,2,uniform,local,16,1,0.06266,0.07242,0.06940,0.09190,1071.06843,1,0
scalar_csr_cusparse,1024,2,uniform,local,16,1,0.20598,0.21648,0.21150,0.22570,325.79649,1,0
slot_grouped_cublas,1024,2,uniform,local,16,1,0.24688,0.43184,0.25320,0.43740,271.82787,2,0
row_owned_hybrid,1024,2,uniform,local,32,1,0.04973,0.05085,0.05500,0.06160,2699.03740,1,0
row_owned_scalar,1024,2,uniform,local,32,1,0.11734,0.11779,0.12270,0.12350,1143.79711,1,0
scalar_csr_cusparse,1024,2,uniform,local,32,1,0.39011,0.39891,0.39700,0.40550,344.04921,1,0
slot_grouped_cublas,1024,2,uniform,local,32,1,0.26346,0.26922,0.26880,0.28470,509.45029,2,0
row_owned_hybrid,1024,2,uniform,local,64,1,0.06602,0.06701,0.07140,0.07700,4066.21791,1,0
row_owned_scalar,1024,2,uniform,local,64,1,0.22659,0.42080,0.23330,0.42670,1184.66429,1,0
scalar_csr_cusparse,1024,2,uniform,local,64,1,0.76739,0.77997,0.77330,0.78890,349.80227,1,0
slot_grouped_cublas,1024,2,uniform,local,64,1,0.25648,0.25814,0.26190,0.26680,1046.61357,2,0
row_owned_hybrid,1024,4,uniform,local,8,1,0.06122,0.06202,0.06630,0.07210,1096.26345,1,0
row_owned_scalar,1024,4,uniform,local,8,1,0.06115,0.07027,0.06700,0.08700,1097.41078,1,0
scalar_csr_cusparse,1024,4,uniform,local,8,1,0.25885,0.42083,0.26470,0.42670,259.25972,1,0
slot_grouped_cublas,1024,4,uniform,local,8,1,0.51421,0.67757,0.52060,0.68350,130.50917,4,0
row_owned_hybrid,1024,4,uniform,local,16,1,0.08246,0.08477,0.08790,0.09660,1627.59173,1,0
row_owned_scalar,1024,4,uniform,local,16,1,0.11110,0.11328,0.11650,0.11950,1208.03690,1,0
scalar_csr_cusparse,1024,4,uniform,local,16,1,0.40662,0.41741,0.41490,0.42420,330.07823,1,0
slot_grouped_cublas,1024,4,uniform,local,16,1,0.51187,0.52733,0.51750,0.54470,262.20956,4,0
row_owned_hybrid,1024,4,uniform,local,32,1,0.08630,0.08746,0.09150,0.09790,3110.34774,1,0
row_owned_scalar,1024,4,uniform,local,32,1,0.21213,0.21584,0.21770,0.22110,1265.44095,1,0
scalar_csr_cusparse,1024,4,uniform,local,32,1,0.79824,0.99542,0.80830,1.00540,336.28414,1,0
slot_grouped_cublas,1024,4,uniform,local,32,1,0.51558,0.52157,0.52300,0.52720,520.64350,4,0
row_owned_hybrid,1024,4,uniform,local,64,1,0.12691,0.13782,0.13280,0.15230,4230.26129,1,0
row_owned_scalar,1024,4,uniform,local,64,1,0.41674,0.65107,0.42240,0.65630,1288.27580,1,0
scalar_csr_cusparse,1024,4,uniform,local,64,1,1.57181,1.76038,1.57870,1.76690,341.56266,1,0
slot_grouped_cublas,1024,4,uniform,local,64,1,0.52531,0.54653,0.53090,0.56030,1022.00389,4,0
row_owned_hybrid,1024,8,uniform,local,8,1,0.18736,0.19542,0.19470,0.21190,716.36275,1,0
row_owned_scalar,1024,8,uniform,local,8,1,0.18598,0.38960,0.19480,0.39490,721.66276,1,0
scalar_csr_cusparse,1024,8,uniform,local,8,1,0.56810,0.58246,0.57370,0.58960,236.25889,1,0
slot_grouped_cublas,1024,8,uniform,local,8,1,1.03555,1.23846,1.04190,1.25650,129.60984,8,0
row_owned_hybrid,1024,8,uniform,local,16,1,0.22707,0.22928,0.23410,0.23560,1182.16009,1,0
row_owned_scalar,1024,8,uniform,local,16,1,0.35539,0.58586,0.36100,0.59930,755.32215,1,0
scalar_csr_cusparse,1024,8,uniform,local,16,1,0.87005,1.07184,0.89010,1.08940,308.52948,1,0
slot_grouped_cublas,1024,8,uniform,local,16,1,1.03984,1.22429,1.04720,1.23080,258.15074,8,0
row_owned_hybrid,1024,8,uniform,local,32,1,0.27158,0.29578,0.29380,0.31040,1976.81345,1,0
row_owned_scalar,1024,8,uniform,local,32,1,0.70714,0.70966,0.71250,0.72320,759.21878,1,0
scalar_csr_cusparse,1024,8,uniform,local,32,1,1.73648,1.91994,1.74450,1.92710,309.17195,1,0
slot_grouped_cublas,1024,8,uniform,local,32,1,1.04118,1.28045,1.05030,1.29470,515.63503,8,0
row_owned_hybrid,1024,8,uniform,local,64,1,0.33971,0.34870,0.34530,0.37480,3160.74158,1,0
row_owned_scalar,1024,8,uniform,local,64,1,1.34918,1.64010,1.35830,1.65610,795.84534,1,0
scalar_csr_cusparse,1024,8,uniform,local,64,1,3.61296,3.83776,3.62170,3.85120,297.19172,1,0
slot_grouped_cublas,1024,8,uniform,local,64,1,1.07466,1.35088,1.08080,1.35920,999.14932,8,0
row_owned_hybrid,1024,16,uniform,local,8,1,0.43805,0.44051,0.44620,0.45500,612.79917,1,0
row_owned_scalar,1024,16,uniform,local,8,1,0.43914,0.44768,0.44610,0.57930,611.28092,1,0
scalar_csr_cusparse,1024,16,uniform,local,8,1,0.93139,1.11344,0.93870,1.12660,288.20889,1,0
slot_grouped_cublas,1024,16,uniform,local,8,1,2.10589,2.26304,2.12840,2.28730,127.46902,16,0
row_owned_hybrid,1024,16,uniform,local,16,1,0.37606,0.39712,0.39990,0.49090,1427.60516,1,0
row_owned_scalar,1024,16,uniform,local,16,1,0.85811,1.10144,0.87280,1.13350,625.64202,1,0
scalar_csr_cusparse,1024,16,uniform,local,16,1,1.51331,1.69190,1.52900,1.69880,354.76552,1,0
slot_grouped_cublas,1024,16,uniform,local,16,1,2.06778,2.27373,2.08070,2.28860,259.63689,16,0
row_owned_hybrid,1024,16,uniform,local,32,1,0.50989,0.73117,0.51530,0.74400,2105.83861,1,0
row_owned_scalar,1024,16,uniform,local,32,1,1.66451,1.89475,1.67120,1.90880,645.07904,1,0
scalar_csr_cusparse,1024,16,uniform,local,32,1,3.01888,3.20368,3.03810,3.21590,355.67557,1,0
slot_grouped_cublas,1024,16,uniform,local,32,1,2.10653,2.31149,2.11690,2.32630,509.72112,16,0
row_owned_hybrid,1024,16,uniform,local,64,1,0.62992,0.64026,0.63560,0.66310,3409.13708,1,0
row_owned_scalar,1024,16,uniform,local,64,1,3.28915,3.51056,3.31210,3.51960,652.89890,1,0
scalar_csr_cusparse,1024,16,uniform,local,64,1,6.20563,6.21869,6.21540,6.23490,346.05397,1,0
slot_grouped_cublas,1024,16,uniform,local,64,1,2.16096,2.52198,2.17470,2.53460,993.76374,16,0
row_owned_hybrid,1024,2,uniform,random,8,1,0.03539,0.03664,0.05800,0.06480,948.07953,1,0
row_owned_scalar,1024,2,uniform,random,8,1,0.03549,0.03578,0.05790,0.05820,945.51492,1,0
scalar_csr_cusparse,1024,2,uniform,random,8,1,0.13411,0.15302,0.13960,0.15870,250.19709,1,0
slot_grouped_cublas,1024,2,uniform,random,8,1,0.24634,0.28042,0.25220,0.28620,136.21408,2,0
row_owned_hybrid,1024,2,uniform,random,16,1,0.05590,0.05827,0.06300,0.06540,1200.43043,1,0
row_owned_scalar,1024,2,uniform,random,16,1,0.06214,0.06304,0.06750,0.10190,1079.89289,1,0
scalar_csr_cusparse,1024,2,uniform,random,16,1,0.20506,0.21763,0.21030,0.22430,327.27092,1,0
slot_grouped_cublas,1024,2,uniform,random,16,1,0.25126,0.26675,0.25780,0.27190,267.08507,2,0
row_owned_hybrid,1024,2,uniform,random,32,1,0.04982,0.05229,0.05510,0.06350,2693.83690,1,0
row_owned_scalar,1024,2,uniform,random,32,1,0.11734,0.11910,0.12270,0.12490,1143.79711,1,0
scalar_csr_cusparse,1024,2,uniform,random,32,1,0.39478,0.40714,0.40070,0.41800,339.97763,1,0
slot_grouped_cublas,1024,2,uniform,random,32,1,0.27107,0.43130,0.27840,0.43800,495.13682,2,0
row_owned_hybrid,1024,2,uniform,random,64,1,0.06675,0.06752,0.08900,0.09610,4021.38437,1,0
row_owned_scalar,1024,2,uniform,random,64,1,0.23504,0.23942,0.24970,0.33370,1142.08417,1,0
scalar_csr_cusparse,1024,2,uniform,random,64,1,0.77126,1.01190,0.77910,1.04510,348.04613,1,0
slot_grouped_cublas,1024,2,uniform,random,64,1,0.25750,0.27494,0.26320,0.28030,1042.45165,2,0
row_owned_hybrid,1024,4,uniform,random,8,1,0.06134,0.06291,0.06640,0.07420,1093.97598,1,0
row_owned_scalar,1024,4,uniform,random,8,1,0.06134,0.06198,0.06640,0.06730,1093.97598,1,0
scalar_csr_cusparse,1024,4,uniform,random,8,1,0.25658,0.25702,0.26190,0.26330,261.55550,1,0
slot_grouped_cublas,1024,4,uniform,random,8,1,0.49574,0.51411,0.50110,0.51980,135.37000,4,0
row_owned_hybrid,1024,4,uniform,random,16,1,0.09085,0.10784,0.09590,0.12780,1477.38783,1,0
row_owned_scalar,1024,4,uniform,random,16,1,0.11315,0.11386,0.11850,0.11960,1186.17197,1,0
scalar_csr_cusparse,1024,4,uniform,random,16,1,0.40346,0.40634,0.40920,0.52560,332.67005,1,0
slot_grouped_cublas,1024,4,uniform,random,16,1,0.51664,0.71555,0.52260,0.72770,259.78965,4,0
row_owned_hybrid,1024,4,uniform,random,32,1,0.08646,0.08784,0.09180,0.09830,3104.59206,1,0
row_owned_scalar,1024,4,uniform,random,32,1,0.21357,0.21389,0.21890,0.21950,1256.90859,1,0
scalar_csr_cusparse,1024,4,uniform,random,32,1,0.78998,0.99424,0.79720,1.00960,339.79860,1,0
slot_grouped_cublas,1024,4,uniform,random,32,1,0.52413,0.73338,0.53020,0.74180,512.15628,4,0
row_owned_hybrid,1024,4,uniform,random,64,1,0.12973,0.15094,0.13520,0.16200,4138.43499,1,0
row_owned_scalar,1024,4,uniform,random,64,1,0.41846,0.41917,0.42370,0.42490,1282.95601,1,0
