method,block_rows,degree,distribution,locality,rhs,seed,gpu_median_ms,gpu_p95_ms,hot_median_ms,hot_p95_ms,useful_gflops,launches,workspace_bytes
row_owned_hybrid,1024,2,uniform,local,8,1,0.03523,0.04362,0.04080,0.06580,952.38510,1,0
row_owned_scalar,1024,2,uniform,local,8,1,0.03498,0.03542,0.04050,0.04080,959.35585,1,0
scalar_csr_cusparse,1024,2,uniform,local,8,1,0.13155,0.14906,0.13700,0.15700,255.06593,1,0
slot_grouped_cublas,1024,2,uniform,local,8,1,0.24538,0.26355,0.25080,0.26900,136.74700,2,0
row_owned_hybrid,1024,2,uniform,local,16,1,0.04752,0.05008,0.05290,0.06150,1412.22355,1,0
row_owned_scalar,1024,2,uniform,local,16,1,0.06186,0.06387,0.06720,0.06950,1084.92082,1,0
scalar_csr_cusparse,1024,2,uniform,local,16,1,0.20557,0.31651,0.21150,0.32240,326.45579,1,0
slot_grouped_cublas,1024,2,uniform,local,16,1,0.26278,0.26688,0.26930,0.27440,255.37652,2,0
row_owned_hybrid,1024,2,uniform,local,32,1,0.06166,0.06224,0.06720,0.07180,2176.59782,1,0
row_owned_scalar,1024,2,uniform,local,32,1,0.11661,0.11763,0.12180,0.12340,1151.01645,1,0
scalar_csr_cusparse,1024,2,uniform,local,32,1,0.39344,0.40294,0.40030,0.40890,341.13899,1,0
slot_grouped_cublas,1024,2,uniform,local,32,1,0.26355,0.26528,0.26910,0.27060,509.26467,2,0
row_owned_hybrid,1024,2,uniform,local,64,1,0.10448,0.10557,0.10980,0.11530,2569.25211,1,0
row_owned_scalar,1024,2,uniform,local,64,1,0.22720,0.22848,0.23230,0.23410,1181.49408,1,0
scalar_csr_cusparse,1024,2,uniform,local,64,1,0.77267,1.03440,0.77920,1.04030,347.41191,1,0
slot_grouped_cublas,1024,2,uniform,local,64,1,0.25731,0.46758,0.26260,0.47410,1043.22945,2,0
row_owned_hybrid,1024,4,uniform,local,8,1,0.06115,0.06134,0.06640,0.07200,1097.41078,1,0
row_owned_scalar,1024,4,uniform,local,8,1,0.06112,0.06147,0.06620,0.06650,1097.98535,1,0
scalar_csr_cusparse,1024,4,uniform,local,8,1,0.25850,0.26960,0.26620,0.27530,259.61279,1,0
slot_grouped_cublas,1024,4,uniform,local,8,1,0.49590,0.51357,0.50260,0.51940,135.32632,4,0
row_owned_hybrid,1024,4,uniform,local,16,1,0.08288,0.08643,0.08970,0.09210,1619.42244,1,0
row_owned_scalar,1024,4,uniform,local,16,1,0.11174,0.11235,0.11730,0.11760,1201.11797,1,0
scalar_csr_cusparse,1024,4,uniform,local,16,1,0.40694,0.59850,0.41300,0.60380,329.81866,1,0
slot_grouped_cublas,1024,4,uniform,local,16,1,0.51405,0.62307,0.51990,0.62930,261.09961,4,0
